file,mode,name,date,distance_km,notes,id,source,original_file,original_sha256,min_altitude_m,max_altitude_m,original_points,map_points,simplify_degrees
drive__0093_GraphHopper-Track.gpx,drive,Warsaw → Czarnowo,,45.8,,r-fdae2663e9be4c8387de453da0b4aa3b,,,,,,,,
drive__0094_GraphHopper-Track.gpx,drive,Warsaw → Rzeszów,,357.5,,r-4150dd95d2944b61ae8ec6699fd68533,,,,,,,,
drive__0095_GraphHopper-Track.gpx,drive,Głogów Małopolski → Zwierzyń,,165.5,,r-463953451ea44dacbc8ab134d6c20992,,,,,,,,
drive__0096_GraphHopper-Track.gpx,drive,Zwierzyń → Warsaw,,488.5,,r-97dd3b6d94eb4400874cb25b2950ade8,,,,,,,,
drive__0097_GraphHopper-Track.gpx,drive,Warsaw → Vienna,,686.9,,r-8c88f6c215c64e84ba1d7f5ea55df155,,,,,,,,
drive__0099_GraphHopper-Track.gpx,drive,Muscat Governorate (loop),,23.6,,r-a996bae4be714c92bbf63e44167c19e8,,,,,,,,
drive__0100_GraphHopper-Track.gpx,drive,Lviv Urban Hromada → Székesfehérvár,,648.9,,r-e43580068f83421e80f3655da84722ca,,,,,,,,
drive__0101_GraphHopper-Track.gpx,drive,Warsaw → Krakow,,298.7,,r-6a15cd7c546a4aeaaa0c232dac7c2ade,,,,,,,,
drive__0102_GraphHopper-Track.gpx,drive,Vysoké Tatry (loop),,63.5,,r-a327c60148254408aca062c4fc9b69c9,,,,,,,,
drive__0103_GraphHopper-Track.gpx,drive,Krakow → Vysoké Tatry,,149.7,,r-866f983c373747cea96cf6d139201e5f,,,,,,,,
drive__0104_GraphHopper-Track.gpx,drive,Vysoké Tatry → Warsaw,,447.7,,r-0d2d191cf28c4361b1be47486cdbb8ec,,,,,,,,
drive__0105_GraphHopper-Track.gpx,drive,Warsaw → Demänovská Dolina,,466.3,,r-92c7c273f507474f8a6eb9ada03c6308,,,,,,,,
drive__0106_GraphHopper-Track.gpx,drive,Demänovská Dolina (loop),,131.7,,r-9c943f9c678c4d76a34be20d804187a6,,,,,,,,
drive__0107_GraphHopper-Track.gpx,drive,Demänovská Dolina → Warsaw,,518.4,,r-5a779f7c7ed94777872d1da0d963fe90,,,,,,,,
drive__0108_GraphHopper-Track.gpx,drive,Demänovská Dolina → Štrba,,50.5,,r-365f7d8cf7564052b530cc74083c9c93,,,,,,,,
ride__0000_2000-Smiferopol-226km.gpx,ride,2000 Smiferopol (226km),2000,225.8,,r-99d1bfd6cc3743c6bf29d5dc5d3da393,,,,,,,,
ride__0001_GraphHopper-Track.gpx,ride,Dobrotvir Settlement Hromada → Lviv Urban Hromada,,56.8,,r-5fe4ebd6aadc496ab2ec9d27b9e3c22c,,,,,,,,
ride__0002_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Skhidnytsia Settlement Hromada,,113.8,,r-c0db4cac5cc6440b9c2ea799717137be,,,,,,,,
ride__0003_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Berestechko Urban Hromada,,110.2,,r-c9a8cf461549429d9f61d97f185af027,,,,,,,,
ride__0004_GraphHopper-Track.gpx,ride,Mykolaiv → Очаківська міська громада,,77.1,,r-b3513c5be4694b7a9f0289c68425e72f,,,,,,,,
ride__0005_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Busk Urban Hromada,,72.3,,r-4b3768fd855e47bf9e060ebdd4b24ab4,,,,,,,,
ride__0006_GraphHopper-Track.gpx,ride,Kherson → Kherson urban hromada,,10.8,,r-2cab2992bda948ee97171173b285cec8,,,,,,,,
ride__0007_GraphHopper-Track.gpx,ride,Oleshky urban hromada → Skadovsk urban hromada,,82.3,,r-26439591d3f04cdb87b99e55ef0109a8,,,,,,,,
ride__0008_GraphHopper-Track.gpx,ride,Sevastopol → Гурзуфский поселковый совет,,100.8,,r-381f3bf5d2fd46a88f03692ebaedff1f,,,,,,,,
ride__0009_GraphHopper-Track.gpx,ride,Simferopol → Гурзуфский поселковый совет,,68.4,,r-66cf6a33beb649149de679911df55285,,,,,,,,
ride__0010_GraphHopper-Track.gpx,ride,Wrocław → Dziwnów,,471.7,,r-86cef18704b84627830320c1f0baf1a8,,,,,,,,
ride__0011_GraphHopper-Track.gpx,ride,Uzhhorod Urban Hromada → Liptovský Mikuláš,,250.7,,r-510359ace7754aff92c266fec6eae491,,,,,,,,
ride__0012_GraphHopper-Track.gpx,ride,Simferopol → Yevpatoriya,,93.5,,r-9e87fdf1a98044c1b70737d3df7913f3,,,,,,,,
ride__0013_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Rzeszów,,170.2,,r-f53536b376344c45a563480b637c8643,,,,,,,,
route-b737e3651ae54d0bb846198205161bf0.gpx,ride,Lviv → Montenegro,2005-07-06,1431.587941,,r-d7d2908ba7384d27bf2f09e95eadbbe6,,aaf9e6f1cc3abe1066875337b8f97e8d5d7f9731c804b5cee16e820ecf3117f7.gpx,aaf9e6f1cc3abe1066875337b8f97e8d5d7f9731c804b5cee16e820ecf3117f7,8.3,1103.1,20455,4475,0.0001
ride__0015_GraphHopper-Track.gpx,ride,Lviv Urban Hromada → Shatsk Settlement Hromada,,223.1,,r-b9220ce24048484582ab30503445a63c,,,,,,,,
ride__0016_GraphHopper-Track.gpx,ride,Antalya → Kemer,,48.7,,r-a157d0358f6f421590c43497d0121971,,,,,,,,
